"bowler","total_balls","total_runs","total_wickets","economy"
"Rashid Khan","1410","1571","0","6.6851063829787234"
"M Muralitharan","1511","1755","0","6.9920318725099602"
"A Kumble","934","1088","0","7.0193548387096774"
"R Ashwin","3174","3747","0","7.0831758034026465"
"DW Steyn","2171","2567","0","7.1108033240997230"
"DL Vettori","751","892","0","7.1360000000000000"
"SP Narine","2681","3201","0","7.1771300448430493"
"Washington Sundar","634","758","0","7.2190476190476190"
"J Botha","682","818","0","7.2389380530973451"
"R Tewatia","560","683","0","7.3440860215053763"
