"batsman","fours","sixes","boundary_runs","total_runs","boundary_percentage"
"A Chopra","7","0","28","28","100.00000000000000000000"
"A Choudhary","1","1","10","10","100.00000000000000000000"
"A Flintoff","5","2","32","32","100.00000000000000000000"
"A Kumble","3","0","12","12","100.00000000000000000000"
"A Mishra","29","5","146","146","100.00000000000000000000"
"A Mithun","4","1","22","22","100.00000000000000000000"
"A Mukund","1","0","4","4","100.00000000000000000000"
"A Nehra","3","1","18","18","100.00000000000000000000"
"A Symonds","74","41","542","542","100.00000000000000000000"
"A Ashish Reddy","16","15","154","154","100.00000000000000000000"
